"id","inTransitTime",
"01f61217-3067-3010-87cb-50d9a2ca8faf","1",
"0238bed2-e9f7-3dcc-867c-ac628ab4cca1","0",
"05ed4d90-e4f1-38f5-ab2d-0aecc80a8c8a","0",
"0ca0d8b0-4498-32dc-b49c-234502bf49e2","2",
"10fc0ea5-cf70-3996-886d-d9faff4af5e1","5",
"19c8f666-c31d-3b73-a458-a116070e0890","1",
"1cb5a62e-2fed-3894-b891-3e8e3913cb3b","5",
"21934ce1-b03c-3774-b710-a12ef5651727","6",
"25791fdb-3008-3b31-8015-9d20177bba30","3",
"27da314e-73ba-34d9-a243-160f4c3df249","7",
"2c5d166e-cffd-3483-9900-58ef367ca73c","2",
"2c82267a-5d23-3159-a07d-f9ee8285e80b","5",
"31fdd404-0e12-3d48-b674-77a197562f77","4",
"35109590-1323-3b6e-8b45-ef81407dfba6","6",
"3ced2fcb-ed8f-3114-a297-733346a21f59","3",
"4357bb70-9a28-3a5e-a995-6b27e1badfef","5",
"4539d5c6-4947-33dc-8512-7d08a8f335ea","7",
"4ccbb1cc-b503-3017-b62c-3d26d23ce5e5","1",
"4ee414c8-52f6-3e18-8d85-64f6f4af5691","7",
"53729bed-fd3d-3d57-96cf-16dab117af9f","4",
"556fce49-37be-332a-a898-82f19fece81a","6",
"574371c0-9902-3955-b3e3-19041f510d67","2",
"58617032-db1e-3d96-afd8-78f2868c9fd2","2",
"63bf84db-1d67-3272-8f61-2f7638a57006","8",
"6e16e8fd-a5a5-33dc-bf4b-5df358bce13b","8",
"704b7d09-d39d-39c5-adea-62b24529d1ad","6",
"7441b666-4a07-3185-a296-86bb15c81fc5","5",
"7b2c948e-8f9d-3f28-82dc-54095f08889d","7",
"7bbdcd73-8ffe-37ae-8a37-70eed960e200","5",
"8034537c-c923-3360-a179-70ea9d094628","1",
"81401542-42c0-37ec-9468-0a29900d8743","2",
"829ec22b-c3f3-3f89-8ba7-ae10659b895c","5",
"88d20baa-9854-356a-a6d8-ef0fbc8d77af","0",
"a38d3394-1700-3db5-8b2d-3de1d24151b3","5",
"a4ec358d-bd38-3772-b56e-9572af528e55","9",
"b95c357d-818b-3594-91ed-da7c6490866f","3",
"cc8daa04-8ba3-321c-9bd2-0829af4cf029","9",
"d2e0fddb-9cb8-34d1-9790-e2edbeb8b3de","0",
"d374ba4d-a894-3a36-b5fc-33bd4671f702","4",
"d42adaf1-5bad-3cc3-a110-c02528577e67","8",
"d5be6fff-b747-3142-941d-26bd77654ceb","0",
"d7ce235f-873d-3932-8759-07594e6cf3e1","0",
"dbeb12b2-2e96-3268-92d5-7918a3f9e057","6",
"e2ab6dbf-8682-3435-a4c7-52646e57fb24","9",
"ead77b08-cee0-3b4c-997d-959236956838","0",
"f0d4d582-ca49-3698-af29-2843f8f9a74d","5",
"f416bc2b-46ce-3f93-96fb-190b245535ef","2",
"f8cd5bb2-31c2-371a-9ffd-57870f7d6b99","8",
"fb6239fb-3041-3cbd-90ec-4533bca20e65","3",
"ff5e569f-2ed4-3778-8c24-99833367dcd1","8",
